id,label,folder,name,length,width,knotCount,tailYAtX0,verticalTail,file
40,round pin,almond,7.2pinlessrocker.brd,219.46,57.78,4,1.53,0,/Users/protoplastico/Desktop/boarddata/almond/7.2pinlessrocker.brd
41,round pin,almond,7.2pintail.brd,219.46,57.78,4,1.53,0,/Users/protoplastico/Desktop/boarddata/almond/7.2pintail.brd
42,round pin,almond,7.2planaria.brd,219.46,58.44,4,1.54,0,/Users/protoplastico/Desktop/boarddata/almond/7.2planaria.brd
43,round pin,almond,7.2spam.brd,219.46,58.44,4,1.54,0,/Users/protoplastico/Desktop/boarddata/almond/7.2spam.brd
44,pin,almond,spamhighrocker.brd,219.46,58.44,4,1.38,0,/Users/protoplastico/Desktop/boarddata/almond/spamhighrocker.brd
45,pin,armond,5.8egg32L.brd,173.74,44.08,4,1.05,0,/Users/protoplastico/Desktop/boarddata/armond/5.8egg32L.brd
46,round pin,armond,7.2egg.brd,219.46,57.78,4,1.46,0,/Users/protoplastico/Desktop/boarddata/armond/7.2egg.brd
47,round pin,armond,7.2pinlessrocker.brd,219.46,57.78,4,1.53,0,/Users/protoplastico/Desktop/boarddata/armond/7.2pinlessrocker.brd
48,round pin,armond,7.2pintail.brd,219.46,57.78,4,1.53,0,/Users/protoplastico/Desktop/boarddata/armond/7.2pintail.brd
49,round pin,armond,7.2planaria.brd,219.46,58.44,4,1.54,0,/Users/protoplastico/Desktop/boarddata/armond/7.2planaria.brd
50,round pin ,armond,7.2spam.brd,219.46,58.44,4,1.54,0,/Users/protoplastico/Desktop/boarddata/armond/7.2spam.brd
51,round pin,armond,spamhighrocker.brd,219.46,58.44,4,1.38,0,/Users/protoplastico/Desktop/boarddata/armond/spamhighrocker.brd
52,square,Bob Simmons,1949 10.6planinghull102L.brd,320.04,57.49,5,17.94,0,/Users/protoplastico/Desktop/boarddata/Bob Simmons/1949 10.6planinghull102L.brd
53,square,Bob Simmons,1950 10.6planinghull96L.brd,320.04,57.22,5,17.76,0,/Users/protoplastico/Desktop/boarddata/Bob Simmons/1950 10.6planinghull96L.brd
54,square,Bob Simmons,1950 9planinghull80L.brd,274.32,57.22,5,18.13,0,/Users/protoplastico/Desktop/boarddata/Bob Simmons/1950 9planinghull80L.brd
55,fish,Canvas,5.10fish40L.brd,178.69,60.31,5,15.92,1,/Users/protoplastico/Desktop/boarddata/Canvas/5.10fish40L.brd
56,fish,Canvas,5'10Fish.brd,178.69,60.31,5,15.92,1,/Users/protoplastico/Desktop/boarddata/Canvas/5'10Fish.brd
57,fish,Canvas,6'10Fish.brd,209.07,50.64,5,14.83,1,/Users/protoplastico/Desktop/boarddata/Canvas/6'10Fish.brd
58,squash,Chanel island,6.0DumpsterDriver35L.brd,182.88,51.38,6,5.31,1,/Users/protoplastico/Desktop/boarddata/Chanel island/6.0DumpsterDriver35L.brd
59,squash,Chanel island,6.0girrabit30L.brd,182.88,48.1,6,5.95,1,/Users/protoplastico/Desktop/boarddata/Chanel island/6.0girrabit30L.brd
60,squash,Chanel island,6.0rookie29L.brd,182.88,48.1,6,4.28,1,/Users/protoplastico/Desktop/boarddata/Chanel island/6.0rookie29L.brd
61,squash,Chanel island,6.0Zeus32L.brd,182.88,48.1,6,5.52,1,/Users/protoplastico/Desktop/boarddata/Chanel island/6.0Zeus32L.brd
62,round pin,Chanel island,6.2BlackBeauty30L.brd,187.96,46.99,5,1.47,0,/Users/protoplastico/Desktop/boarddata/Chanel island/6.2BlackBeauty30L.brd
63,squash,Chanel island,6.2Rocket9.brd,187.96,50.68,6,4.89,1,/Users/protoplastico/Desktop/boarddata/Chanel island/6.2Rocket9.brd
64,squash,Channel islands,5.7spermWhale32l.brd,170.18,55.88,5,9.86,1,/Users/protoplastico/Desktop/boarddata/Channel islands/5.7spermWhale32l.brd
65,squash,Channel islands,5.9joe39l.brd,175.26,56.09,5,6.8,0,/Users/protoplastico/Desktop/boarddata/Channel islands/5.9joe39l.brd
66,square,Channel islands,5.9neckbeard31L.brd,172.72,49.96,5,10.11,1,/Users/protoplastico/Desktop/boarddata/Channel islands/5.9neckbeard31L.brd
67,squash,Channel islands,6.0Blackwhite.brd,182.88,51.79,5,6.52,0,/Users/protoplastico/Desktop/boarddata/Channel islands/6.0Blackwhite.brd
68,squash,Channel islands,6.0Sampler37L.brd,182.88,51.79,5,6.52,0,/Users/protoplastico/Desktop/boarddata/Channel islands/6.0Sampler37L.brd
69,squash,Channel islands,6.0SamplerS29L.brd,182.88,51.79,5,6.52,0,/Users/protoplastico/Desktop/boarddata/Channel islands/6.0SamplerS29L.brd
70,squash,Channel islands,6.2DFR34L.brd,187.96,48.69,5,6.98,1,/Users/protoplastico/Desktop/boarddata/Channel islands/6.2DFR34L.brd
71,round,Channel islands,7.7spermWhale32l.brd,231.14,55.87,5,3.09,0,/Users/protoplastico/Desktop/boarddata/Channel islands/7.7spermWhale32l.brd
72,fish,cooperfish,7.8fatfish80L.brd,234.57,61.11,5,16.77,0,/Users/protoplastico/Desktop/boarddata/cooperfish/7.8fatfish80L.brd
73,pin,deus ex macina,6.6singlefin32L.brd,198.12,50.77,3,0.62,0,/Users/protoplastico/Desktop/boarddata/deus ex macina/6.6singlefin32L.brd
74,round,deus ex macina,7.2midlength44L.brd,218.44,51.08,3,2.61,0,/Users/protoplastico/Desktop/boarddata/deus ex macina/7.2midlength44L.brd
75,pin,deus ex macina,7.2single40L.brd,218.44,51.6,4,1.1,0,/Users/protoplastico/Desktop/boarddata/deus ex macina/7.2single40L.brd
76,,deus ex macina,7.6JoelFitzgerald41L.brd,228.6,55.8,5,3.54,1,/Users/protoplastico/Desktop/boarddata/deus ex macina/7.6JoelFitzgerald41L.brd
77,squash,Driftwood caravan,7.2midlength51L.brd,218.44,58.02,4,8.31,0,/Users/protoplastico/Desktop/boarddata/Driftwood caravan/7.2midlength51L.brd
78,round,fatum surf,5.10chilpil33L.brd,177.8,50.87,3,2.45,0,/Users/protoplastico/Desktop/boarddata/fatum surf/5.10chilpil33L.brd
79,,fatum surf,5.10thrillpill30L.brd,177.8,49.62,5,2.44,0,/Users/protoplastico/Desktop/boarddata/fatum surf/5.10thrillpill30L.brd
80,diamond,fatum surf,5.11bulldog30L.brd,180.34,50.53,4,3.35,0,/Users/protoplastico/Desktop/boarddata/fatum surf/5.11bulldog30L.brd
81,square,fatum surf,5.11disco33L.brd,180.34,49.91,4,9.89,1,/Users/protoplastico/Desktop/boarddata/fatum surf/5.11disco33L.brd
82,round square,fatum surf,5.4wire17.7L.brd,160.02,42.27,4,3.35,0,/Users/protoplastico/Desktop/boarddata/fatum surf/5.4wire17.7L.brd
83,square,fatum surf,5.6habano30L.brd,167.64,53.26,4,10,1,/Users/protoplastico/Desktop/boarddata/fatum surf/5.6habano30L.brd
84,square,fatum surf,6.0flyingfish32L.brd,182.88,51.32,4,7.61,1,/Users/protoplastico/Desktop/boarddata/fatum surf/6.0flyingfish32L.brd
85,squash,fatum surf,6.0giant39L.brd,182.88,55.16,5,11.76,1,/Users/protoplastico/Desktop/boarddata/fatum surf/6.0giant39L.brd
86,squash,fatum surf,6.10arnold39L.brd,208.28,51.18,4,4.42,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.10arnold39L.brd
87,round pin,fatum surf,6.1bond27.5L.brd,190.5,46.15,3,1.5,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.1bond27.5L.brd
88,squash,fatum surf,6.1fusion26L.brd,185.42,47.28,4,3.98,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.1fusion26L.brd
89,diamond,fatum surf,6.1Q429L.brd,185.42,49.64,4,2.2,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.1Q429L.brd
90,squash,fatum surf,6.1skipper29L.brd,185.42,47.28,4,4.88,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.1skipper29L.brd
91,wing swallow,fatum surf,6.2axion32L.brd,187.96,49.65,6,7.11,1,/Users/protoplastico/Desktop/boarddata/fatum surf/6.2axion32L.brd
92,round,fatum surf,6.4supersix35L.brd,193.04,50.88,3,2.04,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.4supersix35L.brd
93,round,fatum surf,6.6froid39L.brd,198.12,53.27,3,1.41,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.6froid39L.brd
94,wing pin,fatum surf,6.8duke47L.brd,203.2,57.83,5,1.72,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.8duke47L.brd
95,round,fatum surf,6.8MOBY44L.brd,203.2,57.83,3,1.84,0,/Users/protoplastico/Desktop/boarddata/fatum surf/6.8MOBY44L.brd
96,pin,fatum surf,7.0superseven44L.brd,213.36,56.11,3,1.32,0,/Users/protoplastico/Desktop/boarddata/fatum surf/7.0superseven44L.brd
97,squash,fatum surf,7.2dolphin44L.brd,218.44,54.09,4,5.2,0,/Users/protoplastico/Desktop/boarddata/fatum surf/7.2dolphin44L.brd
98,round,fatum surf,8buffer54L.brd,243.84,56.27,4,3.05,0,/Users/protoplastico/Desktop/boarddata/fatum surf/8buffer54L.brd
99,round,fatum surf,9.0firm63L.brd,274.32,56.89,4,3.28,0,/Users/protoplastico/Desktop/boarddata/fatum surf/9.0firm63L.brd
100,round pin,fatum surf,9.0sniper71L.brd,274.32,54.19,3,1.09,0,/Users/protoplastico/Desktop/boarddata/fatum surf/9.0sniper71L.brd
101,square,fatum surf,9.0therapy71L.brd,274.32,55.56,4,7.15,1,/Users/protoplastico/Desktop/boarddata/fatum surf/9.0therapy71L.brd
102,roud,fatum surf,9.2firm66L.brd,279.4,57.85,3,2.13,0,/Users/protoplastico/Desktop/boarddata/fatum surf/9.2firm66L.brd
103,diamond,fatum surf,9.4majestic65L.brd,284.48,56.04,5,2.31,0,/Users/protoplastico/Desktop/boarddata/fatum surf/9.4majestic65L.brd
104,diamonod,fatum surf,9.ze 4done72L.brd,284.48,58.43,4,2.31,0,/Users/protoplastico/Desktop/boarddata/fatum surf/9.ze 4done72L.brd
105,round pin,Firewire,6.0creeper33L.brd,182.88,52.88,4,1.59,0,/Users/protoplastico/Desktop/boarddata/Firewire/6.0creeper33L.brd
106,squash,Firewire,6.0Gamma33L.brd,182.88,50.51,5,5.31,0,/Users/protoplastico/Desktop/boarddata/Firewire/6.0Gamma33L.brd
107,square,gatoheroi,9.11killer.brd,302.26,55.29,4,7.64,1,/Users/protoplastico/Desktop/boarddata/gatoheroi/9.11killer.brd
108,square,gatoheroi,9.1fatboy.brd,276.86,54.93,5,8.19,1,/Users/protoplastico/Desktop/boarddata/gatoheroi/9.1fatboy.brd
109,square,gatoheroi,9.1playboy.brd,276.86,54.93,5,7.82,1,/Users/protoplastico/Desktop/boarddata/gatoheroi/9.1playboy.brd
110,square,gatoheroi,9.9killer62L.brd,297.18,54.82,5,7.14,1,/Users/protoplastico/Desktop/boarddata/gatoheroi/9.9killer62L.brd
111,round,gatoheroi,9.9playboy60L.brd,297.18,58.94,4,2.64,0,/Users/protoplastico/Desktop/boarddata/gatoheroi/9.9playboy60L.brd
112,square,greg noll,8.4bugmodel77L.brd,246.89,58.51,5,11.07,1,/Users/protoplastico/Desktop/boarddata/greg noll/8.4bugmodel77L.brd
113,square,Habor,9.6ceeter67L.brd,289.56,57.38,4,7.15,1,/Users/protoplastico/Desktop/boarddata/Habor/9.6ceeter67L.brd
114,square,Habor,9.6classicNoserider72L.brd,289.56,54.38,4,6.35,1,/Users/protoplastico/Desktop/boarddata/Habor/9.6classicNoserider72L.brd
115,square,Habor,9.6classicPig75L.brd,289.56,57.38,4,6.28,1,/Users/protoplastico/Desktop/boarddata/Habor/9.6classicPig75L.brd
116,swuare,Habor,9.6ClassicPinnose62L.brd,289.56,54.38,4,6.35,1,/Users/protoplastico/Desktop/boarddata/Habor/9.6ClassicPinnose62L.brd
117,round pin,Habor,9.7roundtailMOD77L.brd,292.61,57.84,3,1.47,0,/Users/protoplastico/Desktop/boarddata/Habor/9.7roundtailMOD77L.brd
118,round pin,Habor,9.brd,292.61,57.84,3,1.47,0,/Users/protoplastico/Desktop/boarddata/Habor/9.brd
119,square,HotCarl,12'Hotcarl-T-head.brd,370.84,62.36,5,6.54,1,/Users/protoplastico/Desktop/boarddata/HotCarl/12'Hotcarl-T-head.brd
120,square,HotCarl,12'Hotcarl.brd,370.84,62.36,5,6.54,1,/Users/protoplastico/Desktop/boarddata/HotCarl/12'Hotcarl.brd
121,round pin,HotCarl,hotcarl.brd,370.84,63.47,5,4.46,1,/Users/protoplastico/Desktop/boarddata/HotCarl/hotcarl.brd
122,round pin,HPD,6.8CLminimal39L.brd,203.2,49.83,4,2.05,0,/Users/protoplastico/Desktop/boarddata/HPD/6.8CLminimal39L.brd
123,square,Jed noll,9.6MDnoserider68L.brd,289.56,56.55,4,6.2,1,/Users/protoplastico/Desktop/boarddata/Jed noll/9.6MDnoserider68L.brd
124,round diamond,joel tudor,6.10bonzer40L.brd,208.28,57.82,4,2.94,0,/Users/protoplastico/Desktop/boarddata/joel tudor/6.10bonzer40L.brd
125,round,joel tudor,6.8shres42L.brd,203.2,57.83,3,2.54,0,/Users/protoplastico/Desktop/boarddata/joel tudor/6.8shres42L.brd
126,pin,joel tudor,7.10singlegun48L.brd,238.76,52.81,3,1.13,0,/Users/protoplastico/Desktop/boarddata/joel tudor/7.10singlegun48L.brd
127,round,joel tudor,8.6diamondtail65L.brd,259.08,58.11,4,3.27,0,/Users/protoplastico/Desktop/boarddata/joel tudor/8.6diamondtail65L.brd
128,square,joel tudor,9.3flatpinnose70L.brd,281.94,56.78,4,7.04,1,/Users/protoplastico/Desktop/boarddata/joel tudor/9.3flatpinnose70L.brd
129,round pin,joel tudor,9.6alamoana76L.brd,289.56,59.05,3,0.86,0,/Users/protoplastico/Desktop/boarddata/joel tudor/9.6alamoana76L.brd
130,square,joel tudor,9.6grande76L.brd,289.56,58.11,5,10.16,1,/Users/protoplastico/Desktop/boarddata/joel tudor/9.6grande76L.brd
131,square,joel tudor,9.6haffy73L.brd,289.56,58.11,5,8.25,1,/Users/protoplastico/Desktop/boarddata/joel tudor/9.6haffy73L.brd
132,round,joel tudor,9.6santana78L.brd,289.56,59.76,5,3.78,0,/Users/protoplastico/Desktop/boarddata/joel tudor/9.6santana78L.brd
133,round,joel tudor,9.6Wideflat81L.brd,289.56,62.3,5,5.78,0,/Users/protoplastico/Desktop/boarddata/joel tudor/9.6Wideflat81L.brd
134,pin,john wasley,8.1Midpintail58L.brd,246.38,55.23,3,1,0,/Users/protoplastico/Desktop/boarddata/john wasley/8.1Midpintail58L.brd
135,square,john wasley,9.3flatpinnose70L.brd,246.38,56.78,4,7.17,1,/Users/protoplastico/Desktop/boarddata/john wasley/9.3flatpinnose70L.brd
136,square,junod,9.3sanddoll80L.brd,281.94,61.5,4,10.84,1,/Users/protoplastico/Desktop/boarddata/junod/9.3sanddoll80L.brd
137,square,junod,9.7nowski74L.brd,289.56,56.45,4,8.25,1,/Users/protoplastico/Desktop/boarddata/junod/9.7nowski74L.brd
138,round,Keyo,5.9gill-wing31L.brd,175.26,54.87,5,5.46,0,/Users/protoplastico/Desktop/boarddata/Keyo/5.9gill-wing31L.brd
139,round,Keyo,6.6egg40L.brd,198.12,54.61,3,2.59,0,/Users/protoplastico/Desktop/boarddata/Keyo/6.6egg40L.brd
140,square,Keyo,9.6k-log68L.brd,289.56,57.78,4,5.93,1,/Users/protoplastico/Desktop/boarddata/Keyo/9.6k-log68L.brd
141,spuare,Keyo,9.6noserider69L.brd,289.56,56.55,4,8.67,1,/Users/protoplastico/Desktop/boarddata/Keyo/9.6noserider69L.brd
142,round pin,Keyo,9.6OalmePin75L.brd,297.18,59.18,4,1.4,0,/Users/protoplastico/Desktop/boarddata/Keyo/9.6OalmePin75L.brd
143,round,Keyo,9.brd,289.56,63.5,4,8.74,1,/Users/protoplastico/Desktop/boarddata/Keyo/9.brd
144,square,longboard,8.8mini56L.brd,259.08,53.36,5,8.65,1,/Users/protoplastico/Desktop/boarddata/longboard/8.8mini56L.brd
145,square,longboard,9.6CJnelson87L.brd,289.56,59.65,4,7.4,1,/Users/protoplastico/Desktop/boarddata/longboard/9.6CJnelson87L.brd
146,square,longboard,9.8CJnelsonPIG88L.brd,294.64,59.3,4,7.4,1,/Users/protoplastico/Desktop/boarddata/longboard/9.8CJnelsonPIG88L.brd
147,diamond,longboard,9.8lightlog73L.brd,294.64,56.36,5,1.68,0,/Users/protoplastico/Desktop/boarddata/longboard/9.8lightlog73L.brd
148,square,longboard,9.8malibu74L.brd,294.64,55.07,4,7.4,1,/Users/protoplastico/Desktop/boarddata/longboard/9.8malibu74L.brd
149,square,maluku,9.0mal74L.brd,274.32,58.44,5,10.54,1,/Users/protoplastico/Desktop/boarddata/maluku/9.0mal74L.brd
150,round,mandara,5.9mandala35L.brd,175.26,54.99,5,5.35,0,/Users/protoplastico/Desktop/boarddata/mandara/5.9mandala35L.brd
151,pin,protoplastico,10 すすき83L.brd,335.28,60.47,3,0,0,/Users/protoplastico/Desktop/boarddata/protoplastico/10 すすき83L.brd
152,square,protoplastico,10.0おほゐぐさ77L.brd,304.8,59.06,4,10.96,1,/Users/protoplastico/Desktop/boarddata/protoplastico/10.0おほゐぐさ77L.brd
153,round square,protoplastico,10.0をばな79L.brd,304.8,58.13,4,4.86,1,/Users/protoplastico/Desktop/boarddata/protoplastico/10.0をばな79L.brd
154,square,protoplastico,10.6あさぢ102L.brd,320.04,57.49,5,17.94,0,/Users/protoplastico/Desktop/boarddata/protoplastico/10.6あさぢ102L.brd
155,square,protoplastico,10.6つばな96L.brd,320.04,57.22,5,17.76,0,/Users/protoplastico/Desktop/boarddata/protoplastico/10.6つばな96L.brd
156,pin,protoplastico,11.6 ひえ107L.brd,353.57,61.5,3,0,0,/Users/protoplastico/Desktop/boarddata/protoplastico/11.6 ひえ107L.brd
157,diamonod,protoplastico,11すすき99L.brd,294.64,56.36,5,1.85,0,/Users/protoplastico/Desktop/boarddata/protoplastico/11すすき99L.brd
158,square,protoplastico,12.0つちはり158.brd,325.12,50.16,5,5.4,1,/Users/protoplastico/Desktop/boarddata/protoplastico/12.0つちはり158.brd
159,square,protoplastico,12.7 bishop museum alaia 6809.brd,385.92,49.85,5,15.83,1,/Users/protoplastico/Desktop/boarddata/protoplastico/12.7 bishop museum alaia 6809.brd
160,round square,protoplastico,12.8おみなえし244L.brd,386.4,61.33,4,5.01,1,/Users/protoplastico/Desktop/boarddata/protoplastico/12.8おみなえし244L.brd
161,square,protoplastico,14 hawaii olo.brd,441.96,49.85,5,13.99,1,/Users/protoplastico/Desktop/boarddata/protoplastico/14 hawaii olo.brd
162,roud square,protoplastico,15.6 bishop museum olo 298.brd,477.52,44.41,5,6.85,0,/Users/protoplastico/Desktop/boarddata/protoplastico/15.6 bishop museum olo 298.brd
163,round,protoplastico,4.2まくわうり16L.brd,127,91.64,4,10.31,0,/Users/protoplastico/Desktop/boarddata/protoplastico/4.2まくわうり16L.brd
164,round square,protoplastico,5.10あふひ45L.brd,178.69,52.55,4,7.44,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.10あふひ45L.brd
165,round,protoplastico,5.10うけら33L.brd,177.8,53.62,3,2.24,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.10うけら33L.brd
166,,protoplastico,5.10やまたず28L.brd,177.8,49.62,5,2.44,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.10やまたず28L.brd
167,bat,protoplastico,5.11こうぞ5.brd,180.85,53.5,6,0.66,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.11こうぞ5.brd
168,round diamonod,protoplastico,5.11つまま30L.brd,180.34,50.53,4,3.35,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.11つまま30L.brd
169,round diamonod,protoplastico,5.4しきみ28L.brd,163.07,50.23,3,2.84,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.4しきみ28L.brd
170,round square,protoplastico,5.4つみ28L.brd,162.56,49.91,4,5.44,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.4つみ28L.brd
171,fish,protoplastico,5.5なぎ32L.brd,165.99,51.71,5,12,1,/Users/protoplastico/Desktop/boarddata/protoplastico/5.5なぎ32L.brd
172,square,protoplastico,5.6なつめ32L.brd,167.64,53.26,4,10,1,/Users/protoplastico/Desktop/boarddata/protoplastico/5.6なつめ32L.brd
173,wing pin,protoplastico,5.7かきつばた3１L.brd,171.7,49.14,7,1.44,1,/Users/protoplastico/Desktop/boarddata/protoplastico/5.7かきつばた3１L.brd
174,wing bat,protoplastico,5.9え39L.brd,176.78,53.56,10,1.48,1,/Users/protoplastico/Desktop/boarddata/protoplastico/5.9え39L.brd
175,round suqare,protoplastico,5.9かづのき35L.brd,176.78,52.29,6,5.26,1,/Users/protoplastico/Desktop/boarddata/protoplastico/5.9かづのき35L.brd
176,round square,protoplastico,5.9ひし31L.brd,175.26,54.87,5,5.46,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.9ひし31L.brd
177, fish,protoplastico,5.brd,165.99,52.24,5,12.06,0,/Users/protoplastico/Desktop/boarddata/protoplastico/5.brd
178,round square,protoplastico,6.0あふち35L.brd,182.88,51.38,6,5.31,1,/Users/protoplastico/Desktop/boarddata/protoplastico/6.0あふち35L.brd
179,round squareesquash,protoplastico,6.0かし34L.brd,182.88,48.1,6,5.95,1,/Users/protoplastico/Desktop/boarddata/protoplastico/6.0かし34L.brd
